venue_id,venue_lon,venue_lat,zone_id
ven_454b716e73544e6e535f74526b6f7759683159304f37494a496843,-73.9840336,40.7674675,48
ven_454f634678633041735971526b6f7759317230696763504a496843,-73.9567148,40.7764402,236
ven_4550537033587663775f54526b6f775a744869415761754a496843,-73.9572878,40.7831967,236
ven_45526743724b6275446346526b6f77616443703474574a4a496843,-73.9788567,40.7828892,239
ven_4557736c70763768333575526b6f775974592d573133714a496843,-73.9774567,40.7787036,239
ven_45594a653355315a67485a526b6f775a647548466537304a496843,-73.972441,40.7930356,238
ven_45686d5f4b314856766e31526b6f77334c4a30316453394a496843,-73.9707432,40.7955872,238
ven_4932505970545878416d71526b6f775a4a75666b6630474a496843,-73.9831866,40.7685526,142
ven_4945542d5a7655334d6a57526b6f7759523172664f56384a496843,-73.9888338,40.7564269,100
ven_495374556d36693165436d526b6f775a464558707631774a496843,-73.97539,40.7628591,163
ven_495a76784756397a636c61526b6f77595659624d79624f4a496843,-73.97349,40.784365,239
ven_49617343525a5972794235526b6f775a707135475357484a496843,-73.9853115,40.7539141,100
ven_49696f3179734b6a693473526b6f77595249534f6865434a496843,-73.9755259,40.786648,239
ven_496b764942506d56454b71526b6f775a564b6c5f69564a4a496843,-73.9740566,40.7846344,239
ven_4d396348634d4855643376526b6f775a5a664a2d61796a4a496843,-74.0160543,40.7202965,-1
ven_4d443645386a3859364c66526b6f7759354930487433714a496843,-73.9765697,40.7808671,239
ven_4d4e4a7a66346836745a31526b6f77597434434e4455414a496843,-73.9788889,40.7766667,142
ven_4d4f56636f49432d425736526b6f77326a6947344f327a4a496843,-73.97215,40.793637,238
ven_4d5479484a476c70664144526b6f7759746f423142634f4a496843,-73.9792883,40.7764282,142
ven_4d68414c714841656f6d2d526b6f775964467a735236764a496843,-73.9841351,40.7628851,230
ven_4d7363525932556e48667a526b6f77596c3442544d78754a496843,-73.9799412,40.7814235,239
ven_4d79736a4a727a504f415a526b6f77594e59644e6232714a496843,-73.97401,40.789355,238
ven_514f6c557435625a377953526b6f77594e3444305363374a496843,-73.9734946,40.7900606,238
ven_5158584145756f374a4b76526b6f777a376635445166474a496843,-73.931878,40.8689647,243
ven_515f325678612d31534c72526b6f7759353474423453314a496843,-73.976491,40.7800143,239
ven_515f466457386349774574526b6f775a46556e374353444a496843,-73.9812435,40.7662427,163
ven_51645f6d43556b5251305a526b6f775a6c31744b5359534a496843,-74.0076645,40.7329643,158
ven_51686c716e456d45333074526b6f77595a596f4646367a4a496843,-73.9774279,40.7879977,239
ven_5169454c59645f6c63436d526b6f7762644f366b727a354a496843,-74.0022644,40.7184548,231
ven_516c467570796e3658524b526b6f775a395562336d53584a496843,-73.994125,40.7560837,48
ven_517362734b764763584752526b6f775a4a3032463051764a496843,-73.9838551,40.7520979,164
ven_517633786e463661386438526b6f775a78387a6435336a4a496843,-73.9782259,40.7785377,142
ven_517a58434f57747944772d526b6f77595649306c47366c4a496843,-73.9767132,40.7857162,239
ven_553045716f6975386f7663526b6f775a743263763353354a496843,-73.979355,40.776916,142
ven_5536434b44427779443572526b6f775a5a356d787964624a496843,-74.000148,40.734457,249
ven_554753707a353136347861526b6f775a646b36515137564a496843,-73.9817558,40.7614218,230
ven_554f563759583653705f73526b6f775a646146374456574a496843,-73.984644,40.7419313,107
ven_555135764d4d546a5a596c526b6f775970347a47625a5a4a496843,-73.980872,40.775067,142
ven_55527370774e3350323349526b6f775a685a6d615f34534a496843,-73.9784446,40.7826105,239
ven_555966764a6e4a74677257526b6f77595636792d5257664a496843,-73.950454,40.784104,236
ven_555a7a4667656331714337526b6f775a4a396e6a55792d4a496843,-73.976464,40.7809766,239
ven_5574675f763163636a455f526b6f775952493438325f724a496843,-73.9727735,40.7859871,239
ven_55754a78505f3458706d75526b6f775a464b6444512d674a496843,-73.9727841,40.7853151,239
ven_5578692d5370733636656a526b6f77595a3441356359704a496843,-73.9778305,40.7842065,239
ven_592d5a6c757552454a5663526b6f77594e6f442d4d53364a496843,-73.977244,40.7842809,239
ven_593769776f766b664d5845526b6f775a6c4c387937664b4a496843,-74.0040228,40.7326763,249
ven_59394d6e4647334b39736f526b6f7759743444707577544a496843,-73.9792822,40.7763848,142
ven_5949374d505f6a4c4a6563526b6f775a4a3368674b5a4a4a496843,-73.9891975,40.7315339,79
ven_594c336c54424932686837526b6f77593559306b3066524a496843,-73.9763398,40.7811711,239
ven_594d2d536b726e74415734526b6f7759686f75465836484a496843,-73.9727092,40.786044,239
ven_594e6273744c653444744e526b6f7759425077455f32744a496843,,,-1
ven_59755648394e677857394b526b6f775a466431616830704a496843,-73.9847094,40.7291339,79
ven_597a616b6a716649565079526b6f77595a4a63445161384a496843,-73.9616247,40.7773172,236
ven_632d6d6e6755514d44334b526b6f775a4e7646636234574a496843,-73.9736525,40.784124,239
ven_63326b76356569306b6c5a526b6f77597870715033666b4a496843,-73.9714613,40.7877766,238
ven_634f4363417644424e616a526b6f775a685179765633524a496843,-73.9782004,40.7778053,142
ven_635a694159315a6c425f6d526b6f775a7877674f4d65774a496843,-73.9675372,40.7617421,162
ven_636672745f5152476b4548526b6f7759567052754e786d4a496843,-73.9604715,40.7724056,237
ven_636d5f33545a4f4f65736b526b6f7759743466574258654a496843,-73.9773026,40.7766182,142
ven_6373616b72775a37647977526b6f7759686f6c373258644a496843,-73.9789197,40.7832273,239
ven_6377336633385078573278526b6f775a643971693963364a496843,-73.9740449,40.7846314,239
ven_67324c54725333306d766f526b6f775a527a53733035734a496843,-73.9783903,40.7787678,142
ven_6736686e436e567a4f3668526b6f7759564947335f63534a496843,-73.972764,40.7852428,239
ven_6738354a2d754f6a655546526b6f7759314c7231542d5a4a496843,-73.9568009,40.7781335,236
ven_674e54306359797973556f526b6f775a46386e574662384a496843,-73.9724287,40.7858323,239
ven_674f4954736c757352515a526b6f775a7433633753314e4a496843,-73.973978,40.78964,238
ven_676367506d3938385f7968526b6f775974376f727657464a496843,-73.951729,40.7774408,263
